Item#,Qty,Product #,Product Description,Config Name,Solution Id,Support For,CLIC Status,Unit Price (USD) ,Extended List Price (USD),Expert BOM Comment,NOTES
100,1,R4K98A,HPE Cray EX Base System Code,Cray EX #1,20102,,Unbuildable,1,1,,
200,1,R9Y36A,HPE Cray Solution Cable Accessories Code,Cray EX #1,20103,,Warning,1,1,,
201,8,R9F75A,Aruba 100G QSFP28 MPO SR4 MMF Transceiver for HPE,Cray EX #1,20103,,,2425,19400,,
,8,R9F75A      0D1,Factory Integrated,Cray EX #1,20103,,,0,0,,
202,4,Q1H66A,HPE Premier Flex MPO/MPO Multi-mode OM4 12 Fiber 15m Cable,Cray EX #1,20103,,,700,2800,,
,4,Q1H66A      0D1,Factory Integrated,Cray EX #1,20103,,,0,0,,
203,4,R9F77A,HPE Aruba Networking 100G QSFP28 to QSFP28 1m Direct Attach Copper Cable,Cray EX #1,20103,,,541,2164,,
,4,R9F77A      B01,HPE Aruba Networking 100G QSFP28 to QSFP28 1m Direct Attach Copper Cable,Cray EX #1,20103,,,0,0,,
204,1,R9F91A,HPE Aruba Networking 25G SFP28 to SFP28 0.65m Direct Attach Copper Cable,Cray EX #1,20103,,,289,289,,
,1,R9F91A      B01,HPE Aruba Networking 25G SFP28 to SFP28 0.65m Direct Attach Copper Cable,Cray EX #1,20103,,,0,0,,
205,10,R9F92A,HPE Aruba Networking 25G SFP28 to SFP28 3m Direct Attach Copper Cable,Cray EX #1,20103,,,409,4090,,
,10,R9F92A      B01,HPE Aruba Networking 25G SFP28 to SFP28 3m Direct Attach Copper Cable,Cray EX #1,20103,,,0,0,,
206,1,Q1Q95A,HPE SGI Gigabit Ethernet Cat 5E/6A RJ45 1.8m Cable,Cray EX #1,20103,,,36,36,,
,1,Q1Q95A      0D1,Factory Integrated,Cray EX #1,20103,,,0,0,,
207,4,Q1Q96A,HPE SGI Gigabit Ethernet Cat 5E/6A RJ45 3m Cable,Cray EX #1,20103,,,44,176,,
,4,Q1Q96A      0D1,Factory Integrated,Cray EX #1,20103,,,0,0,,
300,1,R9F63A,HPE Aruba Networking CX 6300M 48G Power-to-Port Airflow 2 Fans 1 Power Supply Unit Bundle,1GbE Switch#1,20101,,,13039,13039,,6300 switch
,1,R9F63A      0D1,Factory Integrated,1GbE Switch#1,20101,,,0,0,,
,1,R9F63A      B2B,HPE Aruba Networking CX 6300M 48G Power-to-Port Airflow 2 Fans 1 Power Supply Unit Bundle PDU,1GbE Switch#1,20101,,,0,0,,
301,2,R9F85A,Aruba 10GBASE-T SFP+ RJ45 30m Cat6A Transceiver for HPE,1GbE Switch#1,20101,,,1739,3478,,
,2,R9F85A      0D1,Factory Integrated,1GbE Switch#1,20101,,,0,0,,
302,1,R9F61A,HPE Aruba Networking CX 6300M 12VDC 250W 100-240VAC Power-to-Port Airflow Power Supply Unit,1GbE Switch#1,20101,,,689,689,,
,1,R9F61A      B2B,HPE Aruba Networking CX 6300M 12VDC 250W 100-240VAC Power-to-Port Airflow Power Supply Unit PDU,1GbE Switch#1,20101,,,0,0,,
,1,R9F61A      0D1,Factory Integrated,1GbE Switch#1,20101,,,0,0,,
400,1,R9G23A,HPE Aruba Networking 8360-48Y6C v2 Power-to-Port Airflow 5 Fans 2 PSU Attached Bundle,Spine Switch,20101,,Unbuildable,46645,46645,,8360 switch
,1,R9G23A      0D1,Factory Integrated,Spine Switch,20101,,,0,0,,
,1,R9G23A      B2B,HPE Aruba Networking 8360-48Y6C v2 Power-to-Port Airflow 5 Fans 2 PSU Attached Bundle PDU,Spine Switch,20101,,,0,0,,
500,1,P54199-B21,HPE ProLiant DL325 Gen11 8SFF Configure-to-order Server,DL325 Gen11  #2,20101,,Unbuildable,2767,2767,,dl325
,1,P54199-B21  0D1,Factory Integrated,DL325 Gen11  #2,20101,,,0,0,,
,1,P54199-B21  ABA,HPE DL325 Gen11 8SFF CTO Svr,DL325 Gen11  #2,20101,,,0,0,,
501,1,P53704-B21,AMD EPYC 9354P 3.25GHz 32-core 280W Processor for HPE,DL325 Gen11  #2,20101,,,5870,5870,,
,1,P53704-B21  0D1,Factory Integrated,DL325 Gen11  #2,20101,,,0,0,,
502,12,P50311-B21,HPE 32GB (1x32GB) Dual Rank x8 DDR5-4800 CAS-40-39-39 EC8 Registered Smart Memory Kit,DL325 Gen11  #2,20101,,,1981,23772,,
,12,P50311-B21  0D1,Factory Integrated,DL325 Gen11  #2,20101,,,0,0,,
503,1,P54999-B21,HPE ProLiant DL325 Gen11 8SFF x1 Tri-Mode U.3 Backplane Kit,DL325 Gen11  #2,20101,,,364,364,,
,1,P54999-B21  0D1,Factory Integrated,DL325 Gen11  #2,20101,,,0,0,,
504,8,P64848-B21,HPE 7.68TB NVMe Gen4 Mainstream Performance Read Intensive SFF BC U.3 Static V2 Multi Vendor SSD,DL325 Gen11  #2,20101,,,6921,55368,,
,8,P64848-B21  0D1,Factory Integrated,DL325 Gen11  #2,20101,,,0,0,,
505,1,P55029-B21,HPE ProLiant DL3X5 Gen11 1U x16 Low Profile Secondary Riser Kit,DL325 Gen11  #2,20101,,,477,477,,
,1,P55029-B21  0D1,Factory Integrated,DL325 Gen11  #2,20101,,,0,0,,
506,1,P26253-B21,Broadcom BCM57416 Ethernet 10Gb 2-port BASE-T Adapter for HPE,DL325 Gen11  #2,20101,,,1105,1105,,
,1,P26253-B21  0D1,Factory Integrated,DL325 Gen11  #2,20101,,,0,0,,
507,1,P47785-B21,HPE MR216i-p Gen11 x16 Lanes without Cache PCI SPDM Plug-in Storage Controller,DL325 Gen11  #2,20101,,,2005,2005,,
,1,P47785-B21  0D1,Factory Integrated,DL325 Gen11  #2,20101,,,0,0,,
508,2,P10115-B21,Broadcom BCM57414 Ethernet 10/25Gb 2-port SFP28 OCP3 Adapter for HPE,DL325 Gen11  #2,20101,,,1231,2462,,
,2,P10115-B21  0D1,Factory Integrated,DL325 Gen11  #2,20101,,,0,0,,
509,7,P58462-B21,HPE ProLiant DL3XX Gen11 1U Performance Fan Kit,DL325 Gen11  #2,20101,,,113,791,,
,7,P58462-B21  0D1,Factory Integrated,DL325 Gen11  #2,20101,,,0,0,,
510,2,P03178-B21,HPE 1000W Flex Slot Titanium Hot Plug Power Supply Kit,DL325 Gen11  #2,20101,,,891,1782,,
,2,P03178-B21  0D1,Factory Integrated,DL325 Gen11  #2,20101,,,0,0,,
511,1,512485-B21,HPE iLO Advanced 1-server License with 1yr Support on iLO Licensed Features,DL325 Gen11  #2,20101,,,399,399,,
,1,512485-B21  0D1,Factory Integrated,DL325 Gen11  #2,20101,,,0,0,,
512,1,P57009-B21,HPE ProLiant DL325 Gen11 8SFF x1 Secondary Tri-Mode Cable Kit,DL325 Gen11  #2,20101,,,222,222,,
,1,P57009-B21  0D1,Factory Integrated,DL325 Gen11  #2,20101,,,0,0,,
513,1,P52351-B21,HPE DL3XX Gen11 Easy Install Rail 2 Kit,DL325 Gen11  #2,20101,,,141,141,,
,1,P52351-B21  0D1,Factory Integrated,DL325 Gen11  #2,20101,,,0,0,,
514,1,P58457-B21,HPE ProLiant DL3X5 Gen11 CPU Performance 1U Heat Sink Kit,DL325 Gen11  #2,20101,,,225,225,,
,1,P58457-B21  0D1,Factory Integrated,DL325 Gen11  #2,20101,,,0,0,,
600,1,S2E06A,HPE v3 Fabric Manager Node,Fabric,20101,,Unbuildable,24472,24472,,Fabric Manager Node
,1,S2E06A      0D1,Factory Integrated,Fabric,20101,,,0,0,,
601,1,P10115-B21,Broadcom BCM57414 Ethernet 10/25Gb 2-port SFP28 OCP3 Adapter for HPE,Fabric,20101,,Unbuildable,1231,1231,,
,1,P10115-B21  0D1,Factory Integrated,Fabric,20101,,,0,0,,
700,2,P53921-B21,HPE ProLiant DL385 Gen11 8SFF Configure-to-order Server,,20101,,Unbuildable,3829,7658,,2 DL385s
,2,P53921-B21  0D1,Factory Integrated,,20101,,,0,0,,
,2,P53921-B21  ABA,HPE DL385 Gen11 8SFF CTO Svr,,20101,,,0,0,,
701,4,P53702-B21,AMD EPYC 9124 3.0GHz 16-core 200W Processor for HPE,,20101,,,2442,9768,,
,4,P53702-B21  0D1,Factory Integrated,,20101,,,0,0,,
702,48,P50309-B21,HPE 16GB (1x16GB) Single Rank x8 DDR5-4800 CAS-40-39-39 EC8 Registered Smart Memory Kit,,20101,,,1065,51120,,
,48,P50309-B21  0D1,Factory Integrated,,20101,,,0,0,,
703,2,P55082-B21,HPE ProLiant DL385 Gen11 8SFF Tri-Mode U.3 x1 BC Backplane Kit,,20101,,,376,752,,
,2,P55082-B21  0D1,Factory Integrated,,20101,,,0,0,,
704,4,P64844-B21,HPE 1.92TB NVMe Gen4 Mainstream Performance Read Intensive SFF BC U.3 Static V2 Multi Vendor SSD,,20101,,,2104,8416,,
,4,P64844-B21  0D1,Factory Integrated,,20101,,,0,0,,
705,2,P55097-B21,HPE ProLiant DL385 Gen11 x16 2U Secondary Riser Kit,,20101,,,251,502,,
,2,P55097-B21  0D1,Factory Integrated,,20101,,,0,0,,
706,2,P57890-B21,HPE ProLiant DL385 Gen11 x16/x16 Primary FIO Upgrade Riser Kit,,20101,,,772,1544,,
707,2,P57891-B21,HPE ProLiant DL385 Gen11 x16/x16 Secondary Upgrade Riser Kit,,20101,,,740,1480,,
,2,P57891-B21  0D1,Factory Integrated,,20101,,,0,0,,
708,2,P57893-B21,HPE ProLiant DL385 Gen11 x16/x16 Tertiary FIO Riser Kit,,20101,,,605,1210,,
709,2,P01367-B21,HPE 96W Smart Storage Lithium-ion Battery with 260mm Cable Kit,,20101,,,234,468,,
,2,P01367-B21  0D1,Factory Integrated,,20101,,,0,0,,
710,2,P57884-B21,HPE ProLiant DL3X5 Gen11 Smart Storage Battery 2P 96W Cable Kit,,20101,,,24,48,,
,2,P57884-B21  0D1,Factory Integrated,,20101,,,0,0,,
711,2,P58335-B21,HPE MR408i-o Gen11 x8 Lanes 4GB Cache OCP SPDM Storage Controller,,20101,,,2619,5238,,
,2,P58335-B21  0D1,Factory Integrated,,20101,,,0,0,,
712,2,P51181-B21,Broadcom BCM5719 Ethernet 1Gb 4-port BASE-T OCP3 Adapter for HPE,,20101,,,485,970,,
,2,P51181-B21  0D1,Factory Integrated,,20101,,,0,0,,
713,4,P38997-B21,HPE 1600W Flex Slot Platinum Hot Plug Low Halogen Power Supply Kit,,20101,,,685,2740,,
,4,P38997-B21  0D1,Factory Integrated,,20101,,,0,0,,
714,2,BD505A,HPE iLO Advanced 1-server License with 3yr Support on iLO Licensed Features,,20101,,,469,938,,
,2,BD505A      0D1,Factory Integrated,,20101,,,0,0,,
715,2,P57845-B21,HPE ProLiant DL385 Gen11 SFF Backplane Power Cable Kit,,20101,,,38,76,,
,2,P57845-B21  0D1,Factory Integrated,,20101,,,0,0,,
716,2,P57847-B21,HPE ProLiant DL385 Gen11 8SFF OROC x1 SAS/SATA Cable Kit,,20101,,,605,1210,,
,2,P57847-B21  0D1,Factory Integrated,,20101,,,0,0,,
717,2,P57886-B21,HPE ProLiant DL385 Gen11 2U Standard/Performance FIO Air Baffle Kit,,20101,,,41,82,,
718,12,P58465-B21,HPE ProLiant DL3X5 Gen11 2U Performance Fan Kit,,20101,,,160,1920,,
,12,P58465-B21  0D1,Factory Integrated,,20101,,,0,0,,
719,2,P50400-B21,HPE Gen11 2U Bezel Kit,,20101,,,88,176,,
,2,P50400-B21  0D1,Factory Integrated,,20101,,,0,0,,
720,2,P35876-B21,HPE CE Mark Removal FIO Enablement Kit,,20101,,,1,2,,
721,2,P52351-B21,HPE DL3XX Gen11 Easy Install Rail 2 Kit,,20101,,,141,282,,
,2,P52351-B21  0D1,Factory Integrated,,20101,,,0,0,,
722,4,P58458-B21,HPE ProLiant DL3X5 Gen11 2U Standard Heat Sink Kit,,20101,,,125,500,,
,4,P58458-B21  0D1,Factory Integrated,,20101,,,0,0,,
800,1,R9F60A,HPE Aruba Networking Universal 4-post Duct Kit,1GbE Switch#1,20101,,,805,805,,
,1,R9F60A      0D1,Factory Integrated,1GbE Switch#1,20101,,,0,0,,
900,1,S0E74A,HPE Cray Universal Rail Kit for Aruba Switches,1GbE Switch#1,20101,,,581,581,,
,1,S0E74A      0D1,Factory Integrated,1GbE Switch#1,20101,,,0,0,,
,,,,,,,,,,,
Total,,,,,,,,,,314747,USD